"K","LogLik","n_params","AIC","BIC","delta_BIC"
1,-7888.40679246029,3,15782.8135849206,15799.8262694147,3333.50616312442
2,-6519.87356835979,7,13053.7471367196,13093.4434005391,627.123294248862
3,-6242.1906516667,11,12506.3813033334,12568.7611464784,102.441040188138
4,-6198.06195931261,15,12426.1239186252,12511.1873410957,44.8672348054006
5,-6160.28655224719,19,12358.5731044944,12466.3201062903,0
