"K","LogLik","n_params","AIC","BIC","delta_BIC"
1,-9627.1343865278,3,19260.2687730556,19277.8562646473,4364.44125406921
2,-7863.61361405894,7,15741.2272281179,15782.2647084985,868.849697920419
3,-7529.55071172141,11,15081.1014234428,15145.5888926124,232.173882034285
4,-7434.55960487657,15,14899.1192097531,14987.0566677116,73.641657133534
5,-7382.01378191535,19,14802.0275638307,14913.4150105781,0
