Model,Description,LogLik,AIC,BIC
Model 1,Unconditional Growth,-6350.123408242389,12706.246816484778,12723.259500978864
Model 2,+ Social Demographics,-6033.518493290054,12085.036986580108,12135.65416185106
Model 3,+ Big Five Traits & Trust,-5995.620749045389,12021.241498090778,12105.52999933418
Model 4,+ Personality x Time Moderation,-5987.486003326253,12008.972006652506,12104.498974728362
