"K","LogLik","Par","AIC","BIC","delta_BIC"
1,-22351.6618733219,9,44721.3237466439,44774.0862214189,6867.86251437714
2,-20060.9208472156,19,40159.8416944312,40271.2291411785,2365.00543413674
3,-19465.6865114763,29,38989.3730229526,39159.3854416723,1253.1617346305
4,-19018.7562869908,39,38115.5125739817,38344.1499646737,437.926257631872
5,-18760.4806721888,49,37618.9613443775,37906.2237070418,0
