"Model","Description","LogLik","AIC","BIC"
"Model 1","Unconditional Growth",-7626.06774013639,15258.1354802728,15275.7229718645
"Model 2","+ Social Demographics",-7221.99332953906,14461.9866590781,14514.2907754822
"Model 3","+ Big Five Traits & Trust",-7176.56113558023,14383.1222711605,14470.2166104995
"Model 4","+ Personality x Time Moderation",-7171.64811175216,14377.2962235043,14476.0031414219
